timestamp;CO2;N2O;CH4
2025-12-21T09:56:30.531000Z;13.77;0.37;533.38
2025-12-21T10:06:30.531000Z;17.28;0.26;429.33
2025-12-21T10:16:30.531000Z;17.62;1.74;536.72
2025-12-21T10:26:30.531000Z;22.06;0.25;480.93
2025-12-21T10:36:30.531000Z;23.43;0.21;508.88
2025-12-21T10:46:30.531000Z;20.53;0.92;492.41
2025-12-21T10:56:30.531000Z;12.18;1.34;456.58
2025-12-21T11:06:30.531000Z;13.39;1.4;408.83
2025-12-21T11:16:30.531000Z;24.35;2.34;407.98
2025-12-21T11:26:30.531000Z;10.81;1.78;485.21
2025-12-21T11:36:30.531000Z;16.13;2.46;496.36
2025-12-21T11:46:30.531000Z;22.94;0.44;518.98
2025-12-21T11:56:30.531000Z;10.16;2.16;417.77
2025-12-21T12:06:30.531000Z;14.0;0.27;506.19
2025-12-21T12:16:30.531000Z;19.81;0.16;449.89
2025-12-21T12:26:30.531000Z;17.77;0.91;428.67
2025-12-21T12:36:30.531000Z;21.61;1.38;418.64
2025-12-21T12:46:30.531000Z;13.28;1.86;467.25
2025-12-21T12:56:30.531000Z;12.85;1.85;422.61
2025-12-21T13:06:30.531000Z;20.89;0.79;443.19
2025-12-21T13:16:30.531000Z;14.64;0.64;477.01
2025-12-21T13:26:30.531000Z;24.78;1.22;451.43
2025-12-21T13:36:30.531000Z;11.59;1.78;454.65
2025-12-21T13:46:30.531000Z;19.85;0.25;442.69
2025-12-21T13:56:30.531000Z;23.13;0.71;477.01
2025-12-21T14:06:30.531000Z;11.78;1.38;500.21
2025-12-21T14:16:30.531000Z;20.75;2.25;427.67
2025-12-21T14:26:30.531000Z;17.18;0.77;506.95
2025-12-21T14:36:30.531000Z;24.47;2.27;461.72
2025-12-21T14:46:30.531000Z;10.42;1.76;408.49
2025-12-21T14:56:30.531000Z;14.02;1.01;425.79
2025-12-21T15:06:30.531000Z;10.06;0.43;428.68
2025-12-21T15:16:30.531000Z;13.88;0.7;465.53
2025-12-21T15:26:30.531000Z;23.81;0.56;460.92
2025-12-21T15:36:30.531000Z;17.15;2.34;493.73
